crop,state,district,year,season,area,production,yield
Arecanut,Andaman and Nicobar Islands, , 2009-10,Summer     ,4153.0,2080,0.50
Arhar/Tur,Andaman and Nicobar Islands, , 2009-10,Summer     ,331.0,164,0.50
Bajra,Gujarat,KHEDA, 2007-08,Summer     ,22800.0,55300,2.43
Bajra,Gujarat,KHEDA, 2006-07,Summer     ,14400.0,35800,2.49
Bajra,Gujarat,KHEDA, 2005-06,Summer     ,14100.0,30500,2.16
Bajra,Gujarat,KHEDA, 2004-05,Summer     ,20300.0,40600,2.00
Bajra,Gujarat,KHEDA, 2003-04,Summer     ,13300.0,26500,1.99
Bajra,Gujarat,KHEDA, 2002-03,Summer     ,33700.0,62500,1.85
Bajra,Gujarat,KHEDA, 2001-02,Summer     ,28800.0,58000,2.01
Bajra,Gujarat,KHEDA, 2000-01,Summer     ,31100.0,58300,1.87
Bajra,Gujarat,KHEDA, 1999-00,Summer     ,36900.0,84300,2.28
Bajra,Gujarat,KHEDA, 1998-99,Summer     ,45800.0,95500,2.09
Bajra,Gujarat,KACHCHH, 2018-19,Summer     ,1810.0,2676,1.48
Bajra,Gujarat,KACHCHH, 2017-18,Summer     ,1616.0,4717,2.92
Bajra,Gujarat,KACHCHH, 2016-17,Summer     ,2082.0,4618,2.22
Bajra,Gujarat,KACHCHH, 2015-16,Summer     ,2268.0,4951,2.18
Bajra,Gujarat,KACHCHH, 2014-15,Summer     ,980.0,2216,2.26
Bajra,Gujarat,KACHCHH, 2013-14,Summer     ,4049.0,11313,2.79
Bajra,Gujarat,KACHCHH, 2012-13,Summer     ,1100.0,3000,2.73
Bajra,Gujarat,KACHCHH, 2011-12,Summer     ,4600.0,11700,2.54
Bajra,Gujarat,KACHCHH, 2010-11,Summer     ,3100.0,7600,2.45
Bajra,Gujarat,KACHCHH, 2009-10,Summer     ,2900.0,6600,2.28
Bajra,Gujarat,KHEDA, 2008-09,Summer     ,19500.0,48200,2.47
Bajra,Gujarat,KHEDA, 2009-10,Summer     ,16400.0,37400,2.28
Bajra,Gujarat,KHEDA, 2010-11,Summer     ,52000.0,124600,2.40
Bajra,Gujarat,KHEDA, 2011-12,Summer     ,52000.0,132700,2.55
Bajra,Gujarat,MAHESANA, 2011-12,Summer     ,69400.0,172800,2.49
Bajra,Gujarat,MAHESANA, 2010-11,Summer     ,34700.0,89700,2.59
Bajra,Gujarat,MAHESANA, 2009-10,Summer     ,20400.0,47100,2.31
Bajra,Gujarat,MAHESANA, 2008-09,Summer     ,14200.0,37400,2.63
Bajra,Gujarat,MAHESANA, 2007-08,Summer     ,13800.0,35000,2.54
Bajra,Gujarat,MAHESANA, 2006-07,Summer     ,15700.0,40200,2.56
Bajra,Gujarat,MAHESANA, 2005-06,Summer     ,9400.0,21600,2.30
Bajra,Gujarat,MAHESANA, 2004-05,Summer     ,7700.0,17700,2.30
Bajra,Gujarat,MAHESANA, 2003-04,Summer     ,11900.0,26600,2.24
Bajra,Gujarat,MAHESANA, 2002-03,Summer     ,14500.0,29000,2.00
Bajra,Gujarat,MAHESANA, 2001-02,Summer     ,19500.0,37200,1.91
Bajra,Gujarat,MAHESANA, 2000-01,Summer     ,26600.0,50600,1.90
Bajra,Gujarat,MAHESANA, 1999-00,Summer     ,38400.0,92200,2.40
Bajra,Gujarat,MAHESANA, 1998-99,Summer     ,55600.0,145800,2.62
Bajra,Gujarat,KHEDA, 2018-19,Summer     ,21089.0,73024,3.46
Bajra,Gujarat,KHEDA, 2017-18,Summer     ,25298.0,70068,2.77
Bajra,Gujarat,KHEDA, 2016-17,Summer     ,19114.0,49433,2.59
Bajra,Gujarat,KHEDA, 2015-16,Summer     ,20525.0,55555,2.71
Bajra,Gujarat,KHEDA, 2014-15,Summer     ,28203.0,73819,2.62
Bajra,Gujarat,KHEDA, 2013-14,Summer     ,38136.0,99882,2.62
Bajra,Gujarat,KHEDA, 2012-13,Summer     ,30300.0,76800,2.53
Bajra,Gujarat,KACHCHH, 2008-09,Summer     ,2300.0,5600,2.43
Bajra,Gujarat,KACHCHH, 2007-08,Summer     ,2300.0,5400,2.35
Bajra,Gujarat,KACHCHH, 2006-07,Summer     ,2700.0,6300,2.33
Bajra,Gujarat,KACHCHH, 2005-06,Summer     ,1000.0,2300,2.30
Bajra,Gujarat,JUNAGADH, 2000-01,Summer     ,500.0,900,1.80
Bajra,Gujarat,JUNAGADH, 1999-00,Summer     ,1600.0,3300,2.06
Bajra,Gujarat,JUNAGADH, 1998-99,Summer     ,1600.0,3900,2.44
Bajra,Gujarat,JAMNAGAR, 2017-18,Summer     ,354.0,1033,2.92
Bajra,Gujarat,JAMNAGAR, 2016-17,Summer     ,365.0,911,2.50
Bajra,Gujarat,JAMNAGAR, 2015-16,Summer     ,42.0,112,2.67
Bajra,Gujarat,JAMNAGAR, 2014-15,Summer     ,148.0,388,2.62
Bajra,Gujarat,JAMNAGAR, 2013-14,Summer     ,601.0,1679,2.79
Bajra,Gujarat,JAMNAGAR, 2012-13,Summer     ,100.0,300,3.00
Bajra,Gujarat,JUNAGADH, 2001-02,Summer     ,1200.0,2200,1.83
Bajra,Gujarat,JAMNAGAR, 2011-12,Summer     ,2300.0,5900,2.57
Bajra,Gujarat,JAMNAGAR, 2009-10,Summer     ,800.0,1800,2.25
Bajra,Gujarat,JAMNAGAR, 2008-09,Summer     ,1900.0,4500,2.37
Bajra,Gujarat,JAMNAGAR, 2007-08,Summer     ,1500.0,3600,2.40
Bajra,Gujarat,JAMNAGAR, 2006-07,Summer     ,1000.0,2300,2.30
Bajra,Gujarat,JAMNAGAR, 2005-06,Summer     ,300.0,600,2.00
Bajra,Gujarat,JAMNAGAR, 2004-05,Summer     ,500.0,1000,2.00
Bajra,Gujarat,JAMNAGAR, 2003-04,Summer     ,600.0,1200,2.00
Bajra,Gujarat,JAMNAGAR, 2002-03,Summer     ,100.0,200,2.00
Bajra,Gujarat,JAMNAGAR, 2001-02,Summer     ,600.0,1000,1.67
Bajra,Gujarat,JAMNAGAR, 2010-11,Summer     ,2300.0,5700,2.48
Bajra,Gujarat,JUNAGADH, 2002-03,Summer     ,800.0,1300,1.63
