State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Andhra Pradesh,,,,,
Arhar/Tur,,,,,
 1.ADILABAD, 1997-98,Kharif     ,32200,1100,0.03
, 1998-99,Kharif     ,35900,12700,0.35
, 2000-01,Kharif     ,38996,9437,0.24
, 2001-02,Kharif     ,38438,18027,0.47
, 2002-03,Kharif     ,40771,9989,0.25
, 2003-04,Kharif     ,38393,13284,0.35
, 2004-05,Kharif     ,36468,15499,0.43
, 2005-06,Kharif     ,35993,23359,0.65
, 2006-07,Kharif     ,31414,21833,0.70
, 2007-08,Kharif     ,38000,30000,0.79
, 2008-09,Kharif     ,39533,18660,0.47
, 2009-10,Kharif     ,44943,25303,0.56
, 2010-11,Kharif     ,47884,26193,0.55
, 2011-12,Kharif     ,38832,23260,0.60
, 2012-13,Kharif     ,41000,27000,0.66
 2.ANANTAPUR, 1997-98,Kharif     ,21400,2600,0.12
, 1998-99,Kharif     ,27400,9100,0.33
, 2000-01,Kharif     ,30693,7888,0.26
, 2001-02,Kharif     ,27942,7628,0.27
, 2002-03,Kharif     ,33454,6557,0.20
, 2003-04,Kharif     ,41178,6959,0.17
, 2004-05,Kharif     ,32752,7893,0.24
, 2005-06,Kharif     ,35013,23704,0.68
, 2006-07,Kharif     ,26244,3543,0.14
, 2007-08,Kharif     ,37000,17000,0.46
, 2008-09,Kharif     ,34067,13150,0.39
, 2009-10,Kharif     ,20269,5919,0.29
, 2010-11,Kharif     ,66013,11156,0.17
, 2011-12,Kharif     ,51728,4293,0.08
, 2012-13,Kharif     ,56000,8000,0.14
, 2013-14,Kharif     ,49932,9287,0.19
, 2014-15,Kharif     ,37562,4845,0.13
, 2015-16,Kharif     ,38511,8318,0.22
, 2016-17,Kharif     ,70260,6956,0.10
, 2017-18,Kharif     ,72813,14126,0.19
, 2018-19,Kharif     ,48972,2791,0.06
 3.CHITTOOR, 1997-98,Kharif     ,6100,900,0.15
, 1998-99,Kharif     ,6100,1000,0.16
, 2000-01,Kharif     ,6032,2172,0.36
, 2001-02,Kharif     ,5403,924,0.17
, 2002-03,Kharif     ,4113,440,0.11
, 2003-04,Kharif     ,8476,636,0.08
, 2004-05,Kharif     ,8225,1390,0.17
, 2005-06,Kharif     ,7752,1869,0.24
, 2006-07,Kharif     ,5496,1533,0.28
, 2007-08,Kharif     ,7000,1000,0.14
, 2008-09,Kharif     ,7173,2554,0.36
, 2009-10,Kharif     ,6406,1377,0.21
, 2010-11,Kharif     ,10943,1182,0.11
, 2011-12,Kharif     ,8019,1203,0.15
, 2012-13,Kharif     ,8000,1000,0.13
, 2013-14,Kharif     ,7601,1923,0.25
, 2014-15,Kharif     ,6840,1669,0.24
, 2015-16,Kharif     ,6782,1987,0.29
, 2016-17,Kharif     ,9019,1019,0.11
, 2017-18,Kharif     ,8014,2036,0.25
, 2018-19,Kharif     ,6990,1132,0.16
 4.EAST GODAVARI, 1997-98,Kharif     ,1600,300,0.19
, 1998-99,Kharif     ,2100,300,0.14
, 2000-01,Kharif     ,1861,953,0.51
, 2001-02,Kharif     ,1309,763,0.58
, 2002-03,Kharif     ,763,267,0.35
, 2003-04,Kharif     ,1274,539,0.42
, 2004-05,Kharif     ,863,571,0.66
, 2005-06,Kharif     ,1008,611,0.61
, 2006-07,Kharif     ,917,441,0.48
, 2007-08,Kharif     ,1000,1000,1.00
, 2008-09,Kharif     ,721,344,0.48
, 2009-10,Kharif     ,707,468,0.66
, 2010-11,Kharif     ,689,349,0.51
, 2011-12,Kharif     ,295,156,0.53
, 2013-14,Kharif     ,465,447,0.96
, 2014-15,Kharif     ,2164,1807,0.84
, 2015-16,Kharif     ,2871,1200,0.42
, 2016-17,Kharif     ,2555,779,0.30
, 2017-18,Kharif     ,2240,856,0.38
, 2018-19,Kharif     ,1406,297,0.21
 5.GUNTUR, 1997-98,Kharif     ,28400,14900,0.52
, 1998-99,Kharif     ,27100,20700,0.76
