crop,state,district,year,season,area,production,yield
Arhar/Tur,Andhra Pradesh,ADILABAD, 1998-99,Kharif     ,35900.0,12700,0.35
Arhar/Tur,Assam,NALBARI, 1999-00,Kharif     ,304.0,182,0.60
Arhar/Tur,Assam,NALBARI, 2000-01,Kharif     ,304.0,182,0.60
Arhar/Tur,Assam,NALBARI, 2001-02,Kharif     ,295.0,177,0.60
Arhar/Tur,Assam,NALBARI, 2002-03,Kharif     ,300.0,180,0.60
Arhar/Tur,Assam,NALBARI, 2003-04,Kharif     ,190.0,114,0.60
Arhar/Tur,Assam,NALBARI, 2004-05,Kharif     ,320.0,192,0.60
Arhar/Tur,Assam,NALBARI, 2005-06,Kharif     ,173.0,104,0.60
Arhar/Tur,Assam,NALBARI, 2006-07,Kharif     ,143.0,86,0.60
Arhar/Tur,Assam,NALBARI, 2007-08,Kharif     ,130.0,78,0.60
Arhar/Tur,Assam,NALBARI, 2008-09,Kharif     ,91.0,55,0.60
Arhar/Tur,Assam,NALBARI, 1998-99,Kharif     ,310.0,186,0.60
Arhar/Tur,Assam,NALBARI, 2009-10,Kharif     ,95.0,57,0.60
Arhar/Tur,Assam,NALBARI, 2011-12,Kharif     ,98.0,60,0.61
Arhar/Tur,Assam,NALBARI, 2012-13,Kharif     ,100.0,67,0.67
Arhar/Tur,Assam,NALBARI, 2013-14,Kharif     ,96.0,67,0.70
Arhar/Tur,Assam,NALBARI, 2014-15,Kharif     ,90.0,69,0.77
Arhar/Tur,Assam,NALBARI, 2015-16,Kharif     ,98.0,69,0.70
Arhar/Tur,Assam,NALBARI, 2016-17,Kharif     ,99.0,79,0.80
Arhar/Tur,Assam,NALBARI, 2017-18,Kharif     ,96.0,103,1.07
Arhar/Tur,Assam,SIVASAGAR, 1998-99,Kharif     ,23.0,13,0.57
Arhar/Tur,Assam,SIVASAGAR, 1999-00,Kharif     ,14.0,8,0.57
Arhar/Tur,Assam,SIVASAGAR, 2000-01,Kharif     ,14.0,9,0.64
Arhar/Tur,Assam,NALBARI, 2010-11,Kharif     ,96.0,58,0.60
Arhar/Tur,Assam,NAGAON, 2017-18,Kharif     ,479.0,409,0.85
Arhar/Tur,Assam,NAGAON, 2016-17,Kharif     ,295.0,221,0.75
Arhar/Tur,Assam,NAGAON, 2015-16,Kharif     ,585.0,435,0.74
Arhar/Tur,Assam,MARIGAON, 2012-13,Kharif     ,117.0,98,0.84
Arhar/Tur,Assam,MARIGAON, 2013-14,Kharif     ,127.0,109,0.86
Arhar/Tur,Assam,MARIGAON, 2014-15,Kharif     ,111.0,106,0.95
Arhar/Tur,Assam,MARIGAON, 2015-16,Kharif     ,94.0,64,0.68
Arhar/Tur,Assam,MARIGAON, 2016-17,Kharif     ,89.0,53,0.60
Arhar/Tur,Assam,MARIGAON, 2017-18,Kharif     ,76.0,46,0.61
Arhar/Tur,Assam,NAGAON, 1998-99,Kharif     ,2394.0,1614,0.67
Arhar/Tur,Assam,NAGAON, 1999-00,Kharif     ,1819.0,1226,0.67
Arhar/Tur,Assam,NAGAON, 2000-01,Kharif     ,1591.0,1073,0.67
Arhar/Tur,Assam,NAGAON, 2001-02,Kharif     ,1542.0,1039,0.67
Arhar/Tur,Assam,NAGAON, 2002-03,Kharif     ,1530.0,1031,0.67
Arhar/Tur,Assam,NAGAON, 2003-04,Kharif     ,1527.0,1029,0.67
Arhar/Tur,Assam,NAGAON, 2004-05,Kharif     ,1345.0,906,0.67
Arhar/Tur,Assam,NAGAON, 2005-06,Kharif     ,1249.0,842,0.67
Arhar/Tur,Assam,NAGAON, 2006-07,Kharif     ,1250.0,843,0.67
Arhar/Tur,Assam,NAGAON, 2007-08,Kharif     ,1214.0,831,0.68
Arhar/Tur,Assam,NAGAON, 2008-09,Kharif     ,449.0,303,0.67
Arhar/Tur,Assam,NAGAON, 2009-10,Kharif     ,968.0,654,0.68
Arhar/Tur,Assam,NAGAON, 2010-11,Kharif     ,975.0,662,0.68
Arhar/Tur,Assam,NAGAON, 2011-12,Kharif     ,530.0,425,0.80
Arhar/Tur,Assam,NAGAON, 2012-13,Kharif     ,486.0,375,0.77
Arhar/Tur,Assam,NAGAON, 2013-14,Kharif     ,539.0,419,0.78
Arhar/Tur,Assam,NAGAON, 2014-15,Kharif     ,560.0,492,0.88
Arhar/Tur,Assam,SIVASAGAR, 2001-02,Kharif     ,16.0,10,0.63
Arhar/Tur,Assam,SIVASAGAR, 2002-03,Kharif     ,19.0,12,0.63
Arhar/Tur,Assam,SIVASAGAR, 2003-04,Kharif     ,22.0,13,0.59
Arhar/Tur,Assam,SIVASAGAR, 2004-05,Kharif     ,20.0,12,0.60
Arhar/Tur,Assam,SONITPUR, 2012-13,Kharif     ,517.0,476,0.92
Arhar/Tur,Assam,SONITPUR, 2013-14,Kharif     ,619.0,576,0.93
Arhar/Tur,Assam,SONITPUR, 2014-15,Kharif     ,641.0,660,1.03
Arhar/Tur,Assam,SONITPUR, 2015-16,Kharif     ,657.0,616,0.94
Arhar/Tur,Assam,SONITPUR, 2016-17,Kharif     ,664.0,624,0.94
Arhar/Tur,Assam,SONITPUR, 2017-18,Kharif     ,657.0,614,0.93
Arhar/Tur,Assam,TINSUKIA, 1998-99,Kharif     ,85.0,63,0.74
Arhar/Tur,Assam,TINSUKIA, 1999-00,Kharif     ,87.0,65,0.75
Arhar/Tur,Assam,TINSUKIA, 2000-01,Kharif     ,120.0,90,0.75
Arhar/Tur,Assam,TINSUKIA, 2001-02,Kharif     ,120.0,89,0.74
Arhar/Tur,Assam,TINSUKIA, 2002-03,Kharif     ,104.0,77,0.74
Arhar/Tur,Assam,TINSUKIA, 2003-04,Kharif     ,93.0,70,0.75
Arhar/Tur,Assam,TINSUKIA, 2004-05,Kharif     ,71.0,53,0.75
Arhar/Tur,Assam,TINSUKIA, 2005-06,Kharif     ,93.0,69,0.74
