State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Haryana,,,,,
Barley,,,,,
 1.AMBALA, 1998-99,Rabi       ,104,,0.00
, 1999-00,Rabi       ,67,0,0.00
, 2000-01,Rabi       ,77,0,0.00
, 2001-02,Rabi       ,54,0,0.00
, 2002-03,Rabi       ,39,0,0.00
, 2003-04,Rabi       ,40,0,0.00
, 2004-05,Rabi       ,27,,0.00
, 2005-06,Rabi       ,13,,0.00
, 2006-07,Rabi       ,12,,0.00
, 2007-08,Rabi       ,16,,0.00
, 2008-09,Rabi       ,9,,0.00
, 2009-10,Rabi       ,9,,0.00
, 2010-11,Rabi       ,5,,0.00
, 2011-12,Rabi       ,4,,0.00
, 2012-13,Rabi       ,20,,0.00
 2.BHIWANI, 1997-98,Rabi       ,4000,10000,2.50
, 1998-99,Rabi       ,4152,11000,2.65
, 1999-00,Rabi       ,4507,13000,2.88
, 2000-01,Rabi       ,3811,9000,2.36
, 2001-02,Rabi       ,4055,12000,2.96
, 2002-03,Rabi       ,6086,16000,2.63
, 2003-04,Rabi       ,4905,12000,2.45
, 2004-05,Rabi       ,4246,9000,2.12
, 2005-06,Rabi       ,4900,12000,2.45
, 2006-07,Rabi       ,5849,18000,3.08
, 2007-08,Rabi       ,9976,26000,2.61
, 2008-09,Rabi       ,12816,40000,3.12
, 2009-10,Rabi       ,10691,35000,3.27
, 2010-11,Rabi       ,9859,32000,3.25
, 2011-12,Rabi       ,12812,43000,3.36
, 2012-13,Rabi       ,12209,39000,3.19
 3.FARIDABAD, 1997-98,Rabi       ,2000,5000,2.50
, 1998-99,Rabi       ,3024,7000,2.31
, 1999-00,Rabi       ,2790,6000,2.15
, 2000-01,Rabi       ,1913,6000,3.14
, 2001-02,Rabi       ,1825,6000,3.29
, 2002-03,Rabi       ,1678,6000,3.58
, 2003-04,Rabi       ,1470,4000,2.72
, 2004-05,Rabi       ,1747,5000,2.86
, 2005-06,Rabi       ,1191,3000,2.52
, 2006-07,Rabi       ,1699,7000,4.12
, 2007-08,Rabi       ,1130,3000,2.65
, 2008-09,Rabi       ,364,3000,8.24
, 2009-10,Rabi       ,293,,0.00
, 2010-11,Rabi       ,337,,0.00
, 2012-13,Rabi       ,302,,0.00
 4.FATEHABAD, 1997-98,Rabi       ,7000,15000,2.14
, 1998-99,Rabi       ,4025,12000,2.98
, 1999-00,Rabi       ,4237,12000,2.83
, 2000-01,Rabi       ,4777,16000,3.35
, 2001-02,Rabi       ,3105,10000,3.22
, 2002-03,Rabi       ,2895,8000,2.76
, 2003-04,Rabi       ,1822,6000,3.29
, 2004-05,Rabi       ,2514,6000,2.39
, 2005-06,Rabi       ,3459,10000,2.89
, 2006-07,Rabi       ,4308,14000,3.25
, 2007-08,Rabi       ,3635,15000,4.13
, 2008-09,Rabi       ,4730,21000,4.44
, 2009-10,Rabi       ,3679,14000,3.81
, 2010-11,Rabi       ,3619,15000,4.14
, 2011-12,Rabi       ,3064,12000,3.92
, 2012-13,Rabi       ,2878,12000,4.17
 5.GURGAON, 1997-98,Rabi       ,4000,13000,3.25
, 1998-99,Rabi       ,3034,7000,2.31
, 1999-00,Rabi       ,2283,5000,2.19
, 2000-01,Rabi       ,3966,10000,2.52
, 2001-02,Rabi       ,2634,8000,3.04
, 2002-03,Rabi       ,3057,8000,2.62
, 2003-04,Rabi       ,2639,6000,2.27
, 2004-05,Rabi       ,1883,4000,2.12
, 2005-06,Rabi       ,1826,6000,3.29
, 2006-07,Rabi       ,1898,5000,2.63
, 2007-08,Rabi       ,1274,3000,2.35
, 2008-09,Rabi       ,2363,7000,2.96
, 2009-10,Rabi       ,1676,8000,4.77
, 2010-11,Rabi       ,1277,4000,3.13
, 2011-12,Rabi       ,1818,9000,4.95
, 2012-13,Rabi       ,2101,9000,4.28
 6.HISAR, 1997-98,Rabi       ,5000,13000,2.60
, 1998-99,Rabi       ,4707,15000,3.19
, 1999-00,Rabi       ,4437,13000,2.93
, 2000-01,Rabi       ,5871,19000,3.24
, 2001-02,Rabi       ,4058,11000,2.71
, 2002-03,Rabi       ,3667,11000,3.00
, 2003-04,Rabi       ,4655,15000,3.22
, 2004-05,Rabi       ,3771,11000,2.92
, 2005-06,Rabi       ,4287,12000,2.80
, 2006-07,Rabi       ,6362,21000,3.30
, 2007-08,Rabi       ,7308,20000,2.74
, 2008-09,Rabi       ,9366,32000,3.42
, 2009-10,Rabi       ,6968,22000,3.16
, 2010-11,Rabi       ,5675,22000,3.88
, 2011-12,Rabi       ,4350,15000,3.45
, 2012-13,Rabi       ,6292,19000,3.02
 7.JHAJJAR, 1997-98,Rabi       ,3000,8000,2.67
, 1998-99,Rabi       ,1916,6000,3.13
, 1999-00,Rabi       ,3243,10000,3.08
, 2000-01,Rabi       ,4234,12000,2.83
, 2001-02,Rabi       ,1923,6000,3.12
, 2002-03,Rabi       ,1437,3000,2.09
, 2003-04,Rabi       ,1415,3000,2.12
, 2004-05,Rabi       ,1126,3000,2.66
, 2005-06,Rabi       ,1180,3000,2.54
, 2006-07,Rabi       ,2612,9000,3.45
, 2007-08,Rabi       ,1630,5000,3.07
, 2008-09,Rabi       ,3732,15000,4.02
, 2009-10,Rabi       ,2611,8000,3.06
, 2010-11,Rabi       ,2549,11000,4.32
, 2011-12,Rabi       ,4638,15000,3.23
, 2012-13,Rabi       ,6923,25000,3.61
 8.JIND, 1997-98,Rabi       ,2000,5000,2.50
, 1998-99,Rabi       ,1817,6000,3.30
, 1999-00,Rabi       ,554,3000,5.42
, 2000-01,Rabi       ,1624,5000,3.08
, 2001-02,Rabi       ,1466,5000,3.41
, 2002-03,Rabi       ,876,3000,3.42
, 2003-04,Rabi       ,829,3000,3.62
, 2004-05,Rabi       ,847,3000,3.54
, 2005-06,Rabi       ,800,3000,3.75
, 2006-07,Rabi       ,1088,2000,1.84
, 2007-08,Rabi       ,958,3000,3.13
, 2008-09,Rabi       ,1041,3000,2.88
, 2009-10,Rabi       ,872,3000,3.44
, 2010-11,Rabi       ,612,3000,4.90
, 2011-12,Rabi       ,611,4000,6.55
, 2012-13,Rabi       ,564,4000,7.09
 9.KAITHAL, 1998-99,Rabi       ,37,,0.00
, 1999-00,Rabi       ,60,0,0.00
, 2000-01,Rabi       ,108,0,0.00
, 2001-02,Rabi       ,40,0,0.00
, 2002-03,Rabi       ,33,0,0.00
, 2003-04,Rabi       ,29,0,0.00
, 2004-05,Rabi       ,33,,0.00
, 2005-06,Rabi       ,109,,0.00
, 2006-07,Rabi       ,43,,0.00
, 2007-08,Rabi       ,16,,0.00
, 2008-09,Rabi       ,23,,0.00
, 2009-10,Rabi       ,23,,0.00
, 2010-11,Rabi       ,25,,0.00
, 2011-12,Rabi       ,16,,0.00
, 2012-13,Rabi       ,14,,0.00
 10.KARNAL, 1998-99,Rabi       ,194,,0.00
, 1999-00,Rabi       ,134,0,0.00
, 2000-01,Rabi       ,311,0,0.00
, 2001-02,Rabi       ,186,0,0.00
, 2002-03,Rabi       ,118,0,0.00
, 2003-04,Rabi       ,116,0,0.00
, 2004-05,Rabi       ,106,,0.00
, 2005-06,Rabi       ,111,,0.00
, 2006-07,Rabi       ,98,,0.00
, 2007-08,Rabi       ,110,,0.00
, 2008-09,Rabi       ,311,,0.00
, 2009-10,Rabi       ,72,,0.00
, 2010-11,Rabi       ,31,,0.00
, 2011-12,Rabi       ,84,,0.00
, 2012-13,Rabi       ,28,,0.00
 11.KURUKSHETRA, 1998-99,Rabi       ,77,,0.00
, 1999-00,Rabi       ,13,0,0.00
, 2000-01,Rabi       ,4,0,0.00
, 2001-02,Rabi       ,10,0,0.00
, 2002-03,Rabi       ,7,0,0.00
, 2003-04,Rabi       ,7,0,0.00
, 2004-05,Rabi       ,11,,0.00
, 2005-06,Rabi       ,3,,0.00
, 2006-07,Rabi       ,14,,0.00
, 2007-08,Rabi       ,5,,0.00
, 2008-09,Rabi       ,1,,0.00
, 2009-10,Rabi       ,5,,0.00
, 2010-11,Rabi       ,1,,0.00
, 2011-12,Rabi       ,4,,0.00
, 2012-13,Rabi       ,1,,0.00
 12.MAHENDRAGARH, 1997-98,Rabi       ,1000,3000,3.00
, 1998-99,Rabi       ,1032,3000,2.91
, 1999-00,Rabi       ,995,3000,3.02
, 2000-01,Rabi       ,1373,3000,2.18
, 2001-02,Rabi       ,1368,3000,2.19
, 2002-03,Rabi       ,997,3000,3.01
, 2003-04,Rabi       ,692,3000,4.34
, 2004-05,Rabi       ,439,,0.00
, 2005-06,Rabi       ,550,3000,5.45
, 2006-07,Rabi       ,670,3000,4.48
, 2007-08,Rabi       ,654,3000,4.59
, 2008-09,Rabi       ,778,3000,3.86
, 2009-10,Rabi       ,638,2000,3.13
, 2010-11,Rabi       ,847,3000,3.54
, 2011-12,Rabi       ,872,2000,2.29
, 2012-13,Rabi       ,679,4000,5.89
 13.MEWAT, 2005-06,Rabi       ,1873,6000,3.20
, 2006-07,Rabi       ,1542,5000,3.24
, 2007-08,Rabi       ,1003,2000,1.99
, 2008-09,Rabi       ,807,3000,3.72
, 2009-10,Rabi       ,912,2000,2.19
, 2010-11,Rabi       ,917,3000,3.27
, 2011-12,Rabi       ,986,4000,4.06
, 2012-13,Rabi       ,1317,3000,2.28
 14.PALWAL, 2008-09,Rabi       ,1027,3000,2.92
, 2009-10,Rabi       ,945,3000,3.17
, 2010-11,Rabi       ,993,3000,3.02
, 2011-12,Rabi       ,929,4000,4.31
, 2012-13,Rabi       ,1035,3000,2.90
 15.PANCHKULA, 1998-99,Rabi       ,61,,0.00
, 1999-00,Rabi       ,71,0,0.00
, 2000-01,Rabi       ,57,0,0.00
, 2001-02,Rabi       ,29,0,0.00
, 2002-03,Rabi       ,21,0,0.00
, 2003-04,Rabi       ,32,0,0.00
, 2004-05,Rabi       ,24,,0.00
, 2005-06,Rabi       ,31,,0.00
, 2006-07,Rabi       ,25,,0.00
, 2007-08,Rabi       ,52,,0.00
, 2008-09,Rabi       ,56,,0.00
, 2009-10,Rabi       ,87,,0.00
, 2010-11,Rabi       ,37,,0.00
, 2011-12,Rabi       ,33,,0.00
, 2012-13,Rabi       ,36,,0.00
 16.PANIPAT, 1998-99,Rabi       ,51,,0.00
, 1999-00,Rabi       ,47,0,0.00
, 2000-01,Rabi       ,142,0,0.00
, 2001-02,Rabi       ,37,0,0.00
, 2002-03,Rabi       ,77,0,0.00
, 2003-04,Rabi       ,31,0,0.00
, 2004-05,Rabi       ,48,,0.00
, 2005-06,Rabi       ,34,,0.00
, 2006-07,Rabi       ,50,,0.00
, 2007-08,Rabi       ,44,,0.00
, 2008-09,Rabi       ,65,,0.00
, 2009-10,Rabi       ,68,,0.00
, 2010-11,Rabi       ,44,,0.00
, 2011-12,Rabi       ,63,,0.00
, 2012-13,Rabi       ,49,,0.00
 17.REWARI, 1997-98,Rabi       ,2000,5000,2.50
, 1998-99,Rabi       ,1822,6000,3.29
, 1999-00,Rabi       ,1674,7000,4.18
, 2000-01,Rabi       ,4443,15000,3.38
, 2001-02,Rabi       ,1416,3000,2.12
, 2002-03,Rabi       ,1878,6000,3.19
, 2003-04,Rabi       ,1248,3000,2.40
, 2005-06,Rabi       ,769,3000,3.90
, 2006-07,Rabi       ,1799,6000,3.34
, 2007-08,Rabi       ,1254,3000,2.39
, 2008-09,Rabi       ,2109,7000,3.32
, 2009-10,Rabi       ,1682,7000,4.16
, 2010-11,Rabi       ,1310,4000,3.05
, 2011-12,Rabi       ,1865,8000,4.29
, 2012-13,Rabi       ,1805,7000,3.88
 18.ROHTAK, 1997-98,Rabi       ,1000,1000,1.00
, 1998-99,Rabi       ,1653,4000,2.42
, 1999-00,Rabi       ,1722,2000,1.16
, 2000-01,Rabi       ,1955,5000,2.56
, 2001-02,Rabi       ,1918,6000,3.13
, 2002-03,Rabi       ,1349,2000,1.48
, 2003-04,Rabi       ,1628,5000,3.07
, 2004-05,Rabi       ,1125,2000,1.78
, 2005-06,Rabi       ,930,2000,2.15
, 2006-07,Rabi       ,1035,2000,1.93
, 2007-08,Rabi       ,822,3000,3.65
, 2008-09,Rabi       ,1317,2000,1.52
, 2009-10,Rabi       ,1429,3000,2.10
, 2010-11,Rabi       ,1497,3000,2.00
, 2011-12,Rabi       ,1586,6000,3.78
, 2012-13,Rabi       ,3435,11000,3.20
 19.SIRSA, 1997-98,Rabi       ,10000,35000,3.50
, 1998-99,Rabi       ,8166,23000,2.82
, 1999-00,Rabi       ,6583,25000,3.80
, 2000-01,Rabi       ,8953,18000,2.01
, 2001-02,Rabi       ,5532,16000,2.89
, 2002-03,Rabi       ,5717,15000,2.62
, 2003-04,Rabi       ,4940,13000,2.63
, 2004-05,Rabi       ,3893,12000,3.08
, 2005-06,Rabi       ,5464,13000,2.38
, 2006-07,Rabi       ,8167,23000,2.82
, 2007-08,Rabi       ,9390,34000,3.62
, 2008-09,Rabi       ,11755,46000,3.91
, 2009-10,Rabi       ,9235,30000,3.25
, 2010-11,Rabi       ,7486,27000,3.61
, 2011-12,Rabi       ,7274,27000,3.71
, 2012-13,Rabi       ,7827,31000,3.96
 20.SONIPAT, 1997-98,Rabi       ,1000,3000,3.00
, 1998-99,Rabi       ,444,,0.00
, 1999-00,Rabi       ,390,0,0.00
, 2000-01,Rabi       ,439,0,0.00
, 2002-03,Rabi       ,367,0,0.00
, 2003-04,Rabi       ,573,0,0.00
, 2004-05,Rabi       ,573,3000,5.24
, 2005-06,Rabi       ,674,3000,4.45
, 2006-07,Rabi       ,358,,0.00
, 2007-08,Rabi       ,236,,0.00
, 2008-09,Rabi       ,340,,0.00
, 2009-10,Rabi       ,185,,0.00
, 2010-11,Rabi       ,122,,0.00
, 2011-12,Rabi       ,185,,0.00
, 2012-13,Rabi       ,176,,0.00
