crop,state,district,year,season,area,production,yield
Barley,Haryana,AMBALA, 1999-00,Rabi       ,67.0,0.0,0.0
Barley,Uttar Pradesh,MAINPURI, 2007-08,Rabi       ,3149.0,8356.0,2.65
Barley,Uttar Pradesh,MAINPURI, 2006-07,Rabi       ,3541.0,8539.0,2.41
Barley,Uttar Pradesh,MAINPURI, 2005-06,Rabi       ,2836.0,8524.0,3.01
Barley,Uttar Pradesh,MAINPURI, 2004-05,Rabi       ,3514.0,9441.0,2.69
Barley,Uttar Pradesh,MAINPURI, 2003-04,Rabi       ,4306.0,11847.0,2.75
Barley,Uttar Pradesh,MAINPURI, 2002-03,Rabi       ,4476.0,13825.0,3.09
Barley,Uttar Pradesh,MAINPURI, 2001-02,Rabi       ,4146.0,11478.0,2.77
Barley,Uttar Pradesh,MAINPURI, 2000-01,Rabi       ,3982.0,10957.0,2.75
Barley,Uttar Pradesh,MAINPURI, 1999-00,Rabi       ,4962.0,16162.0,3.26
Barley,Uttar Pradesh,MAINPURI, 1998-99,Rabi       ,4264.0,14044.0,3.29
Barley,Uttar Pradesh,MAHOBA, 2018-19,Rabi       ,8302.0,24141.0,2.91
Barley,Uttar Pradesh,MAINPURI, 2008-09,Rabi       ,2551.0,7532.0,2.95
Barley,Uttar Pradesh,MAHOBA, 2017-18,Rabi       ,3838.0,9434.0,2.46
Barley,Uttar Pradesh,MAHOBA, 2015-16,Rabi       ,2738.0,2117.0,0.77
Barley,Uttar Pradesh,MAHOBA, 2014-15,Rabi       ,10701.0,18398.0,1.72
Barley,Uttar Pradesh,MAHOBA, 2013-14,Rabi       ,5072.0,15089.0,2.97
Barley,Uttar Pradesh,MAHOBA, 2012-13,Rabi       ,4429.0,11967.0,2.7
Barley,Uttar Pradesh,MAHOBA, 2011-12,Rabi       ,4090.0,8910.0,2.18
Barley,Uttar Pradesh,MAHOBA, 2010-11,Rabi       ,2281.0,5268.0,2.31
Barley,Uttar Pradesh,MAHOBA, 2009-10,Rabi       ,4840.0,4957.0,1.02
Barley,Uttar Pradesh,MAHOBA, 2008-09,Rabi       ,2055.0,1932.0,0.94
Barley,Uttar Pradesh,MAHOBA, 2007-08,Rabi       ,1374.0,653.0,0.48
Barley,Uttar Pradesh,MAHOBA, 2006-07,Rabi       ,3020.0,2632.0,0.87
Barley,Uttar Pradesh,MAHOBA, 2005-06,Rabi       ,3709.0,3701.0,1.0
Barley,Uttar Pradesh,MAHOBA, 2016-17,Rabi       ,7972.0,20979.0,2.63
Barley,Uttar Pradesh,MAHOBA, 2004-05,Rabi       ,2494.0,3987.0,1.6
Barley,Uttar Pradesh,MAINPURI, 2009-10,Rabi       ,2024.0,6067.0,3.0
Barley,Uttar Pradesh,MAINPURI, 2011-12,Rabi       ,1854.0,6135.0,3.31
Barley,Uttar Pradesh,MATHURA, 2014-15,Rabi       ,4706.0,8677.0,1.84
Barley,Uttar Pradesh,MATHURA, 2013-14,Rabi       ,3872.0,13106.0,3.38
Barley,Uttar Pradesh,MATHURA, 2012-13,Rabi       ,4416.0,14372.0,3.25
Barley,Uttar Pradesh,MATHURA, 2011-12,Rabi       ,5040.0,16678.0,3.31
Barley,Uttar Pradesh,MATHURA, 2010-11,Rabi       ,6772.0,22577.0,3.33
Barley,Uttar Pradesh,MATHURA, 2009-10,Rabi       ,8202.0,24584.0,3.0
Barley,Uttar Pradesh,MATHURA, 2008-09,Rabi       ,5613.0,16573.0,2.95
Barley,Uttar Pradesh,MATHURA, 2007-08,Rabi       ,10998.0,29185.0,2.65
Barley,Uttar Pradesh,MATHURA, 2006-07,Rabi       ,8989.0,22464.0,2.5
Barley,Uttar Pradesh,MATHURA, 2005-06,Rabi       ,10061.0,31096.0,3.09
Barley,Uttar Pradesh,MATHURA, 2004-05,Rabi       ,8989.0,24151.0,2.69
Barley,Uttar Pradesh,MAINPURI, 2010-11,Rabi       ,1376.0,4588.0,3.33
Barley,Uttar Pradesh,MATHURA, 2003-04,Rabi       ,10061.0,25253.0,2.51
Barley,Uttar Pradesh,MATHURA, 2001-02,Rabi       ,11979.0,35960.0,3.0
Barley,Uttar Pradesh,MATHURA, 2000-01,Rabi       ,14635.0,47484.0,3.24
Barley,Uttar Pradesh,MATHURA, 1999-00,Rabi       ,11733.0,38216.0,3.26
Barley,Uttar Pradesh,MATHURA, 1998-99,Rabi       ,12430.0,35924.0,2.89
Barley,Uttar Pradesh,MAINPURI, 2018-19,Rabi       ,2669.0,9283.0,3.48
Barley,Uttar Pradesh,MAINPURI, 2017-18,Rabi       ,2781.0,12453.0,4.48
Barley,Uttar Pradesh,MAINPURI, 2016-17,Rabi       ,2124.0,7267.0,3.42
Barley,Uttar Pradesh,MAINPURI, 2015-16,Rabi       ,2685.0,7296.0,2.72
Barley,Uttar Pradesh,MAINPURI, 2014-15,Rabi       ,2081.0,3837.0,1.84
Barley,Uttar Pradesh,MAINPURI, 2013-14,Rabi       ,2894.0,9795.0,3.38
Barley,Uttar Pradesh,MAINPURI, 2012-13,Rabi       ,2526.0,8221.0,3.25
Barley,Uttar Pradesh,MATHURA, 2002-03,Rabi       ,10610.0,31374.0,2.96
Barley,Uttar Pradesh,MAHOBA, 2003-04,Rabi       ,2664.0,2927.0,1.1
Barley,Uttar Pradesh,MAHOBA, 2002-03,Rabi       ,2818.0,2435.0,0.86
Barley,Uttar Pradesh,MAHOBA, 2001-02,Rabi       ,3405.0,3144.0,0.92
Barley,Uttar Pradesh,LUCKNOW, 2013-14,Rabi       ,150.0,376.0,2.51
Barley,Punjab,BARNALA, 2008-09,Rabi       ,1000.0,3000.0,3.0
Barley,Punjab,BARNALA, 2009-10,Rabi       ,1000.0,3000.0,3.0
Barley,Punjab,BARNALA, 2010-11,Rabi       ,1000.0,3000.0,3.0
Barley,Punjab,BARNALA, 2011-12,Rabi       ,1000.0,4000.0,4.0
Barley,Punjab,BARNALA, 2012-13,Rabi       ,1000.0,3000.0,3.0
Barley,Punjab,BARNALA, 2013-14,Rabi       ,1000.0,4000.0,4.0
Barley,Punjab,BARNALA, 2014-15,Rabi       ,1000.0,3600.0,3.6
Barley,Punjab,BARNALA, 2016-17,Rabi       ,400.0,1500.0,3.75
Barley,Punjab,BARNALA, 2017-18,Rabi       ,300.0,1100.0,3.67
Barley,Punjab,BATHINDA, 1998-99,Rabi       ,1000.0,3000.0,3.0
Barley,Uttar Pradesh,LUCKNOW, 2014-15,Rabi       ,121.0,164.0,1.36
Barley,Punjab,BATHINDA, 1999-00,Rabi       ,4000.0,13000.0,3.25
Barley,Punjab,BATHINDA, 2001-02,Rabi       ,3000.0,8000.0,2.67
Barley,Punjab,BATHINDA, 2002-03,Rabi       ,3000.0,10000.0,3.33
Barley,Punjab,BATHINDA, 2003-04,Rabi       ,3000.0,10000.0,3.33
Barley,Punjab,BATHINDA, 2004-05,Rabi       ,3000.0,9000.0,3.0
Barley,Punjab,BATHINDA, 2005-06,Rabi       ,2000.0,5000.0,2.5
Barley,Punjab,BATHINDA, 2006-07,Rabi       ,2000.0,7000.0,3.5
Barley,Punjab,BATHINDA, 2007-08,Rabi       ,2000.0,6000.0,3.0
Barley,Punjab,BATHINDA, 2008-09,Rabi       ,2000.0,7000.0,3.5
Barley,Punjab,BATHINDA, 2009-10,Rabi       ,2000.0,6000.0,3.0
Barley,Punjab,BATHINDA, 2010-11,Rabi       ,2000.0,7000.0,3.5
Barley,Punjab,BATHINDA, 2011-12,Rabi       ,2000.0,7000.0,3.5
Barley,Punjab,BATHINDA, 2000-01,Rabi       ,5000.0,14000.0,2.8
Barley,Uttar Pradesh,LUCKNOW, 2015-16,Rabi       ,88.0,77.0,0.88
Barley,Uttar Pradesh,LUCKNOW, 2016-17,Rabi       ,125.0,342.0,2.74
Barley,Uttar Pradesh,LUCKNOW, 2017-18,Rabi       ,221.0,580.0,2.62
Barley,Uttar Pradesh,MAHOBA, 2000-01,Rabi       ,2875.0,1989.0,0.69
Barley,Uttar Pradesh,MAHOBA, 1999-00,Rabi       ,2566.0,4299.0,1.68
Barley,Uttar Pradesh,MAHOBA, 1998-99,Rabi       ,2270.0,4552.0,2.01
Barley,Uttar Pradesh,MAHARAJGANJ, 2018-19,Rabi       ,64.0,204.0,3.19
Barley,Uttar Pradesh,MAHARAJGANJ, 2017-18,Rabi       ,21.0,69.0,3.29
Barley,Uttar Pradesh,MAHARAJGANJ, 2016-17,Rabi       ,87.0,300.0,3.45
Barley,Uttar Pradesh,MAHARAJGANJ, 2015-16,Rabi       ,25.0,55.0,2.2
Barley,Uttar Pradesh,MAHARAJGANJ, 2014-15,Rabi       ,66.0,120.0,1.82
Barley,Uttar Pradesh,MAHARAJGANJ, 2013-14,Rabi       ,113.0,344.0,3.04
Barley,Uttar Pradesh,MAHARAJGANJ, 2012-13,Rabi       ,58.0,159.0,2.74
Barley,Uttar Pradesh,MAHARAJGANJ, 2011-12,Rabi       ,71.0,195.0,2.75
Barley,Uttar Pradesh,MAHARAJGANJ, 2010-11,Rabi       ,52.0,138.0,2.65
Barley,Uttar Pradesh,MAHARAJGANJ, 2009-10,Rabi       ,65.0,150.0,2.31
Barley,Uttar Pradesh,MAHARAJGANJ, 2008-09,Rabi       ,98.0,229.0,2.34
Barley,Uttar Pradesh,MAHARAJGANJ, 2007-08,Rabi       ,56.0,133.0,2.38
Barley,Uttar Pradesh,MAHARAJGANJ, 2006-07,Rabi       ,98.0,191.0,1.95
Barley,Uttar Pradesh,MAHARAJGANJ, 2005-06,Rabi       ,100.0,104.0,1.04
Barley,Uttar Pradesh,MAHARAJGANJ, 2004-05,Rabi       ,104.0,201.0,1.93
Barley,Uttar Pradesh,MAHARAJGANJ, 2003-04,Rabi       ,108.0,201.0,1.86
Barley,Uttar Pradesh,MAHARAJGANJ, 2002-03,Rabi       ,146.0,224.0,1.53
Barley,Uttar Pradesh,MAHARAJGANJ, 2001-02,Rabi       ,165.0,363.0,2.2
Barley,Uttar Pradesh,MAHARAJGANJ, 2000-01,Rabi       ,157.0,201.0,1.28
Barley,Uttar Pradesh,MAHARAJGANJ, 1999-00,Rabi       ,162.0,355.0,2.19
Barley,Uttar Pradesh,MAHARAJGANJ, 1998-99,Rabi       ,213.0,496.0,2.33
Barley,Uttar Pradesh,LUCKNOW, 2018-19,Rabi       ,32.0,90.0,2.81
Barley,Uttar Pradesh,MATHURA, 2015-16,Rabi       ,3864.0,10500.0,2.72
Barley,Uttar Pradesh,MATHURA, 2016-17,Rabi       ,4105.0,14044.0,3.42
Barley,Uttar Pradesh,MATHURA, 2017-18,Rabi       ,3865.0,12499.0,3.23
Barley,Uttar Pradesh,MATHURA, 2018-19,Rabi       ,4687.0,16301.0,3.48
Barley,Uttar Pradesh,MORADABAD, 2015-16,Rabi       ,11.0,24.0,2.18
Barley,Uttar Pradesh,MORADABAD, 2014-15,Rabi       ,7.0,12.0,1.71
Barley,Uttar Pradesh,MORADABAD, 2013-14,Rabi       ,25.0,72.0,2.88
Barley,Uttar Pradesh,MORADABAD, 2012-13,Rabi       ,18.0,48.0,2.67
Barley,Uttar Pradesh,MORADABAD, 2011-12,Rabi       ,142.0,386.0,2.72
Barley,Uttar Pradesh,MORADABAD, 2010-11,Rabi       ,110.0,289.0,2.63
Barley,Uttar Pradesh,MORADABAD, 2009-10,Rabi       ,94.0,216.0,2.3
Barley,Uttar Pradesh,MORADABAD, 2008-09,Rabi       ,157.0,365.0,2.32
Barley,Uttar Pradesh,MORADABAD, 2007-08,Rabi       ,161.0,356.0,2.21
Barley,Uttar Pradesh,MORADABAD, 2006-07,Rabi       ,214.0,462.0,2.16
Barley,Uttar Pradesh,MORADABAD, 2005-06,Rabi       ,152.0,309.0,2.03
Barley,Uttar Pradesh,MORADABAD, 2016-17,Rabi       ,7.0,19.0,2.71
Barley,Uttar Pradesh,MORADABAD, 2004-05,Rabi       ,243.0,513.0,2.11
Barley,Uttar Pradesh,MORADABAD, 2002-03,Rabi       ,304.0,745.0,2.45
Barley,Uttar Pradesh,MORADABAD, 2001-02,Rabi       ,318.0,786.0,2.47
Barley,Uttar Pradesh,MORADABAD, 2000-01,Rabi       ,334.0,761.0,2.28
Barley,Uttar Pradesh,MORADABAD, 1999-00,Rabi       ,278.0,702.0,2.53
Barley,Uttar Pradesh,MORADABAD, 1998-99,Rabi       ,319.0,760.0,2.38
Barley,Uttar Pradesh,MIRZAPUR, 2018-19,Rabi       ,4213.0,8542.0,2.03
Barley,Uttar Pradesh,MIRZAPUR, 2017-18,Rabi       ,4004.0,4546.0,1.14
Barley,Uttar Pradesh,MIRZAPUR, 2016-17,Rabi       ,4489.0,7204.0,1.6
Barley,Uttar Pradesh,MIRZAPUR, 2015-16,Rabi       ,3769.0,3562.0,0.95
Barley,Uttar Pradesh,MIRZAPUR, 2014-15,Rabi       ,3697.0,5754.0,1.56
Barley,Uttar Pradesh,MIRZAPUR, 2013-14,Rabi       ,4737.0,10065.0,2.12
Barley,Uttar Pradesh,MORADABAD, 2003-04,Rabi       ,314.0,743.0,2.37
