State,District,N,OC,P,K
Andhra Pradesh,Anantapur,92.62,54.21,6.13,15.85
Andhra Pradesh,Chittoor,96.23,36.68,11.63,49.93
Andhra Pradesh,East Godavari,95.82,24.80,13.70,18.62
Andhra Pradesh,Guntur,89.51,51.99,11.07,6.16
Andhra Pradesh,Krishna,90.28,21.44,2.28,26.20
Andhra Pradesh,Kurnool,99.69,56.39,8.85,29.49
Andhra Pradesh,Prakasam,93.43,52.37,24.88,16.77
Andhra Pradesh,Spsr Nellore,93.47,24.58,10.11,58.58
Andhra Pradesh,Srikakulam,88.52,29.53,42.62,23.91
Andhra Pradesh,Visakhapatanam,88.98,22.07,14.41,51.42
Andhra Pradesh,Vizianagaram,94.23,35.39,9.17,23.20
Andhra Pradesh,West Godavari,87.25,33.02,3.41,56.53
Andhra Pradesh,Y.S.R.,98.59,63.67,19.79,28.43
Haryana,Ambala,100.00,92.68,65.85,52.20
Haryana,Bhiwani,99.99,98.30,80.63,53.60
Haryana,Faridabad,99.90,99.88,99.93,1.95
Haryana,Fatehabad,99.76,92.82,79.31,50.85
Haryana,Gurgaon,97.71,95.04,75.81,56.48
Haryana,Hisar,100.00,96.77,62.10,20.91
Haryana,Jhajjar,100.00,97.01,93.51,23.41
Haryana,Jind,99.97,98.72,92.72,5.59
Haryana,Kaithal,99.20,97.84,69.49,30.48
Haryana,Karnal,100.00,96.06,91.67,54.47
Haryana,Kurukshetra,99.18,92.66,96.30,42.87
Haryana,Mahendragarh,99.75,88.01,97.89,41.60
Haryana,Mewat,99.99,95.66,81.22,31.43
Haryana,Palwal,99.99,99.27,99.11,10.52
Haryana,Panchkula,96.97,94.57,36.64,65.18
Haryana,Panipat,100.00,97.45,76.43,19.61
Haryana,Rewari,100.00,96.43,91.82,74.57
Haryana,Rohtak,99.92,99.47,74.47,42.38
Haryana,Sirsa,99.90,99.21,88.25,22.30
Haryana,Sonipat,99.89,92.09,95.83,31.29
Haryana,Yamunanagar,100.00,98.05,81.12,74.28
Jammu And Kashmir,Anantnag,24.14,29.79,88.78,34.55
Jammu And Kashmir,Badgam,43.34,11.44,14.15,5.35
Jammu And Kashmir,Bandipora,92.50,15.89,10.49,48.55
Jammu And Kashmir,Baramulla,22.67,6.98,67.07,26.78
Jammu And Kashmir,Doda,17.93,36.49,78.71,13.14
Jammu And Kashmir,Ganderbal,9.91,4.25,37.79,30.99
Jammu And Kashmir,Jammu,35.61,49.76,61.85,60.37
Jammu And Kashmir,Kathua,21.41,27.86,25.05,77.96
Jammu And Kashmir,Kishtwar,9.18,7.49,64.32,5.84
Jammu And Kashmir,Kulgam,23.63,17.87,67.67,47.45
Jammu And Kashmir,Kupwara,37.53,20.17,53.38,31.64
Jammu And Kashmir,Poonch,9.56,10.06,77.35,26.72
Jammu And Kashmir,Pulwama,23.24,1.92,18.64,6.50
Jammu And Kashmir,Rajauri,11.62,26.26,24.14,10.25
