crop,state,Cost of Cultivation (Rs./Hectare) A1,Cost of Cultivation (Rs./Hectare) A2,Cost of Cultivation (Rs./Hectare) B1,Cost of Cultivation (Rs./Hectare) B2,Cost of Cultivation (Rs./Hectare) C1,Cost of Cultivation (Rs./Hectare) C2,Cost of Cultivation (Rs./Hectare) C2 Revised,Cost of Production (Rs./Qtl) A1,Cost of Production (Rs./Qtl) A2,Cost of Production (Rs./Qtl) B1,Cost of Production (Rs./Qtl) B2,Cost of Production (Rs./Qtl) C1,Cost of Production (Rs./Qtl) C2,Cost of Production (Rs./Qtl) C2 Revised,Cost of Production (Rs./Qtl) C3,Value of Main Product (Rs./Hectare),Value of By- Product (Rs./Hectare),Seed (Kg.) per Hectare,Fertilizer (Kg. Nutrients) per Hectare,Manure (Qtl.) per Hectare,Human Labour* (Man Hrs.) per Hectare,Animal Labour (Pair Hrs.) per Hectare,Seed (Kg.) Rate (Rs.) ,Fertilizer (Kg. Nutrients) Rate(Rs.) ,Manure (Qtl.) Rate (Rs.) ,Human Labour (Man Hrs.) Rate (Rs.) ,Animal Labour (Pair Hrs.) Rate (Rs.) ,Implicit (Qtl.) Rate (Rs.) ,Number of Holdings in Sample,Number of Tehsils in Sample,Derived Yield (Qtl./Hectare),Operational Cost,Human Labour,Animal Labour,Machine Labour,Seed,Fertilizer & Manure,Insecticides,Irrigation Charges,Crop Insurance,Miscellaneous,Interest on Working Capital,Fixed Costs,Rental Value of Owned Land,Rent Paid For Leased-in-Land,"Land Revenue, Taxes, Cesses",Depreciation on Implements & Farm Building,Interest on Fixed Capital,Total Cost [11+12]
Arhar,Andhra Pradesh,23949.57,24420.64,24877.48,35334.46,30143.09,40600.07,41121.9058,3892.98,3942.94,3978.03,5572.64,4944.73,6539.33,6628.484303,7291.332733,32582.9,703.46,9.303,85.939,1.003,256.86,16.48,112.766,28.047,30.003,48,115.06,4838.75,39,12,6.07,29059.80935,12328.87,1895.93,5955.29,1049.02,2440.4,2040.47,7.12,0,297.79,721.03,11540.26,9985.91,471.07,0,155.37,927.91,40600.06935
Arhar,Bihar,16769.36,16769.36,18076.74,33897.1,21180.65,37001.01,37010.847,1281.18,1281.18,1374.32,2583.21,1618.22,2827.11,2827.785581,3110.564139,46728.36,1659.42,27.914,52.513,0,264.26,0,78.763,39.063,0,37.41,0,4682.83,12,2,12.65,19284.07,9886.7,0,4657.12,2198.61,2051.33,0,0,0,0,490.31,17716.94,15820.37,0,117.24,471.95,1307.38,37001.01
Arhar,Chhattisgarh,17255.6,17255.6,17834.56,20826.36,18980.1,21971.9,25184.175,3604.77,3604.77,3725.71,4350.71,3965.02,4590.02,5258.974562,5784.872019,10245.9,1721.31,19.672,52.459,0,376.98,13.11,80.001,35.625,0,20.73,37.51,2499,1,1,4.1,18115.49,7814.39,491.8,5852.46,1573.77,1868.85,0,0,0,0,514.22,3856.41,2991.8,0,2.8,282.85,578.96,21971.9
Arhar,Gujarat,25065.81,26199.73,31439.28,39653.35,43606.28,51820.35,51820.35,2156.27,2248.63,2655.01,3330.43,3743.72,4419.14,4419.14,4861.05,45080.58,3459.27,7.78,54.3,8.29,845.3,37.44,83.03,22.95,100.95,26.13,115.95,4109.59,44,14,10.9,36893.09,22088.18,4341.58,3933.9,646.37,2075.08,1618.93,1439.79,0,0,749.26,14927.26,7080.16,1133.92,10.38,329.33,6373.47,51820.35
Arhar,Karnataka,25589.37,25589.37,27673.68,39204.53,32794.88,44325.73,46203.4,2360.01,2360.01,2556.15,3630.46,3008.08,4082.4,4256.05,4681.65,47077.79,1649.48,12.91,229.15,0.68,310.37,40.9,69.16,12.17,152.11,31.95,133.64,4258.35,101,23,10.47,30487.91,9916.39,5466.53,6028.28,892.6,2892.89,3909.73,73.22,0,225.67,768.67,13837.82,11530.88,0,9.37,213.27,2084.3,44325.73
Arhar,Madhya Pradesh,18498.61,18498.61,20976.55,28811.2,27370.23,35204.88,35204.88,2323.98,2323.98,2677.89,3615.79,3377.76,4315.66,4315.66,4747.226,29796.77,2666.25,26.461,47.098,2.029,362.72,16.99,79.027,32.956,183.42,32.36,105.66,3741.25,47,15,7.49,23618.94014,11736.93,1795.51,4158.73,2091.15,1924.34,1049.15,251.99,83.64014,5.54,521.96,11585.94,7834.65,0,4.48,1268.87,2477.94,35204.88014
Arhar,Maharashtra,51286.99,51286.99,58447.38,72531.68,73647.42,87731.72,87731.72,2638.16,2638.16,3022.88,3749.17,3820.89,4547.18,4547.18,5001.9,81781.46,2707.38,23.19,156.01,2.65,1000.49,77.61,94.81,31.59,238.6,29.65,94.41,4364.97,176,32,18.68,65029.94,29661.92,7327.19,10175.72,2198.6,5560.63,7417.73,658.92,62.88,281.28,1509.98,22701.78,14084.3,0,62.97,1394.12,7160.39,87731.72
Arhar,Odisha,5295.17,5295.17,6775.62,12273.94,17204.34,22702.65,22702.65,1076.55,1076.55,1333.69,2399.16,3375.73,4441.2,4441.2,4885.32,21576.57,416.68,17.79,0.4,0.3,315.15,42.01,54.31,29.15,105.98,36.11,44.96,4153.5,40,10,5.02,15057.67,11379.38,1888.72,626.24,966.07,42.92,0,0,0,14.07,140.27,7644.98,5498.31,0,17.77,648.44,1480.46,22702.65
Arhar,Tamil Nadu,30534.63,30534.63,33880.43,46097.31,38666.13,50883,50883,3899.51,3899.51,4474.43,6053.8,5072.08,6651.45,6651.45,7316.6,33221.43,527.13,17.63,98.33,7.7,466.84,0,100,39.37,115,41.91,0,4153.9,5,5,7.53,33488.08,19565.52,0,4526.83,1763.33,4757.37,1939.82,58.38,0,7.07,869.76,17394.92,12216.87,0,14.61,1817.64,3345.8,50883
Arhar,Uttar Pradesh,14402.69,14402.69,18410.92,33896.4,27816.39,43301.87,43382.21,1639.13,1639.13,1964.77,3307.99,2918.26,4261.47,4272.86,4700.15,38943.43,7839.37,16.52,10.59,0.43,487.06,0.27,124.36,19.79,50,28.55,157.49,5198.97,73,23,8.44,22457.03,13907.91,42.07,4038.1,2053.79,231.18,293.27,1305.08,0,0,395.49,20844.84,15485.48,0,16.61,1334.52,4008.23,43301.87
Bajra,Gujarat,26925.46,27632.29,29895.69,39121.33,38357.01,47582.65,47582.65,678.26,697.16,749,976.47,963.94,1191.41,1191.41,1310.55,34377.8,18311.84,7.13,132.76,9.23,592.51,6.24,295.84,21.05,77.09,29.5,162.84,1282.6,141,28,26.11,35109.62,17477.57,1015.7,5270.91,2108.4,3506.41,123.52,4324.22,0,0,807.51,12473.03,8518.8,706.83,3.81,273.35,2970.24,47582.65
Bajra,Haryana,17129.88,17129.88,22534.34,31640.04,31570.85,40676.55,40676.55,671.45,671.45,892.78,1240.9,1236.26,1584.37,1584.37,1742.81,22625.87,7410.8,4.34,133.7,0,271.08,0.04,188.32,15.73,0,51.08,141.18,1105.85,114,18,19.48,24973.84,13846.82,5,6692.75,816.66,2103.61,131.25,746.79,0,0,482.95,15702.25,9105.7,0,0,1192.09,5404.46,40676.09
Bajra,Maharashtra,30199.21,30199.21,26370.79,43305.17,41551.83,48486.2,48486.2,1207.27,1207.27,1448.73,1725.76,1644.19,1921.22,1921.22,2113.34,35489.84,6108.11,4.7,89.83,0,466.29,18.75,225.45,20.91,0,35.27,119.46,1681.63,42,17,21.41,34787.53,16445.36,2240.36,10476.54,1058.86,1878.39,0,1236.05,0,29.68,897.15,13698.67,6934.38,0,16.72,575.99,6171.58,48486.2
Bajra,Rajasthan,9539.95,9539.95,10653,14720.53,25101.57,29169.11,29169.11,479.41,479.41,539.7,740.01,1241.53,1441.83,1441.83,1586.013,12129.1,12271.23,6,28.168,1.199,352.58,0.69,159.056,27.1,47.731,49.22,165.1,1172.54,258,33,10.24,23750.39,17355.34,113.13,3884.42,954.4,820.56,0,332.47,0,8.21,281.86,5418.72,4067.53,0,4.15,233.99,1113.05,29169.11
Bajra,Uttar Pradesh,15302.56,16196.5,17611.28,27262.95,24812.14,34463.8,34463.8,542.59,564.28,622.89,964.74,888.49,1230.33,1230.33,1353.36,22408.23,6740.9,4.83,58.5,0.5,406.66,0.2,221.46,16.4,0,31.52,113.96,1055.13,105,19,21.56,22045.62,12819.18,22.39,5429.87,1069.45,959.57,100.08,977.69,0,0,449.83,12418.18,8757.73,893.93,4.58,453.22,2308.72,34463.8
Cotton,Andhra Pradesh,56613.14,59292.54,59522.01,83310.14,67744.14,91532.27,91532.27,3444.12,3575.65,3650.32,4995.85,4204.85,5550.38,5550.38,6105.418,71231.64,9.81,2.804,273.705,7.825,523.4,35.73,1715.022,27.629,45.636,49.07,168.24,4175.03,179,29,16.49,64485.10992,25682.42,6010.84,4547.08,4808.97,7919.44,5249.06,104.38,0,181.44,1704.93,27047.16,21108.73,2679.39,0,350.17,2908.87,91532.26992
Cotton,Gujarat,50277.01,51098.5,56951.13,74268.13,68032.92,85349.91,85349.91,2357.18,2397.71,2665.79,3472.65,3189.09,3995.94,3995.94,4395.53,98257.57,1830.61,1.81,216.39,36.55,954.06,21.49,1719.22,24.02,117.78,29.54,149.28,4637.93,291,40,20.95,60695.51,28178.8,3208.16,6151.39,3106.63,9488.68,3159.35,3742.82,0,3.38,1503.43,24654.4,16495.51,821.49,11.04,652.23,6674.13,85349.91
Cotton,Haryana,29141.73,29141.73,35306.87,54408.59,51140.72,70242.44,70242.44,1967.51,1967.51,2384.29,3677.36,3454.35,4747.42,4747.42,5222.16,63479.99,3515.82,2.07,124.71,0,525.04,1.5,1868.08,22.17,0,48.95,132.43,4561.73,124,17,14.02,43853.06,25701.3,199.08,5374.9,3867.77,2764.41,2233.19,2859.93,0,0,849.05,26389.38,19101.73,0,0,1122.51,6165.14,70242.44
Cotton,Karnataka,36443.66,36443.66,38623.43,53159.36,45610.56,60146.48,67019.5,2721.13,2721.13,2979.6,3938.06,3493.97,4452.44,4959.78,5455.76,66533.38,1039.92,11.1,139.31,6.94,660.9,38.55,359.31,31.26,117.32,27.6,119.86,4272.94,73,19,13.29,43140.04,18241.18,4620.96,5816.16,3989.7,5168.23,3159.95,790.98,0,257.35,1095.53,17006.44,14535.92,0,8.35,282.4,2179.77,60146.48
Cotton,Madhya Pradesh,46238.87,46238.87,50346.17,67421.24,61584.79,78659.86,78659.86,2402.46,2402.46,2614.27,3497.26,3194.27,4077.25,4077.25,4484.975,69998.59,5138.98,1.14,146.483,12.495,871.96,53.38,1940.814,25.3,199.463,33.4,117.89,4148.22,31,5,17.97,56556.6397,29127.39,6292.35,3794.26,2212.28,6198.24,5342.27,1459.39,733.8597,23.34,1373.26,22103.22,17075.07,0,4.02,916.83,4107.3,78659.8597
Cotton,Maharashtra,52229.27,52229.27,60008.27,70795.23,72145.24,82932.2,82932.2,3494.69,3494.69,4022.09,4748.1,4821.05,5547.05,5547.05,6101.76,63083.36,1625.47,1.78,295.75,3.36,971.76,69.61,1767.82,28.04,261.24,30.3,103.28,4351.43,206,39,14.57,63275.03,29446.31,7188.91,5702.56,3137.91,9169.36,3886.37,2742.13,284.56,159.24,1549.63,19657.17,10786.97,0,34.06,1057.13,7779.01,82932.2
Cotton,Odisha,37026.69,37604.2,38049.87,54160.91,53578.41,69689.45,69689.45,2367.86,2406.14,2430.83,2416.61,3356.84,4342.62,4342.62,4776.88,66289.47,0,1.45,205.61,11.35,1220.61,41.47,1806.53,36.52,127.36,26.85,32.76,4104.05,39,6,16.05,51799.54,32774.71,1358.74,3554.92,2620.23,8953.83,929.95,0,0,71.7,1099.11,17889.91,15533.53,577.51,12.24,743.45,1023.18,69689.45
Cotton,Punjab,43411.22,50171.16,46387.32,79649.36,53006.37,86268.41,86268.41,2054.18,2374.06,2195.01,3768.94,2508.22,4082.15,4082.15,4490.365,92827.73,4189.07,2.958,182.239,0,605.15,1.23,1749.5,19.411,0,41.91,110.76,4584.22,58,8,20.22,49450.16,25364.85,136.23,7111.81,5175.02,3537.53,5663.03,1151.84,0,11.95,1297.9,36818.25,26502.09,6759.95,0,580.1,2976.11,86268.41
Cotton,Rajasthan,30767.91,30851.68,37111.93,51768.21,59257.12,73913.41,73913.41,1711.07,1715.51,2020.57,2783.65,3225.86,3988.94,3988.94,4387.834,81831.71,5585.91,2.726,146.131,5.755,689.98,3.37,1706.308,25.009,129.427,45.05,120.36,4600.57,88,19,17.44,52071.74,31083.33,406.09,4008.41,4651.87,4399.5,2515.19,4069.56,0,30.94,906.85,21841.67,14572.52,83.77,7.04,834.33,6344.01,73913.41
Cotton,Tamil Nadu,64172.64,64172.64,75023.55,93025.97,106007.9,124010.31,124010.31,3488.76,3488.76,4063.58,4974.84,5841.09,6752.36,6752.36,7427.6,87572.58,515.02,5.26,247.6,43.51,1284.61,0.24,679.45,28.08,165.84,48.2,100.2,4762.99,70,17,18.25,94082.89,61916.85,23.64,6548.7,3571.77,14166.81,2809.04,2732.72,0,217.11,1912.07,29927.42,18002.41,0,11.46,1062.62,10850.93,124010.31
Groundnut,Andhra Pradesh,42780.13,43699.34,44501.55,62051.4,53384.26,70934.11,70934.11,2943.86,3005.94,3059.39,4258.33,3676.56,4875.50,4875.50,5363.05,56208.82,4533.91,139.263,109.026,39.243,420.35,10.41,90.181,27.913,74.257,48.56,87.09,3988.54,70,14,13.46,51331.23154,20411.78,906.82,5412.03,12558.78,5957.37,1196.65,681.76,0,141.14,1286.3,19602.88,16630.64,919.21,0,331.61,1721.42,70934.11154
